Product Prediction,Body_Site,count,Site Type,rel_abun
hybrid,Alar crease,6,Sebaceous,0.046153846
NRPS,Alar crease,8,Sebaceous,0.061538462
arylpolyene,Alar crease,2,Sebaceous,0.015384615
T1PKS,Alar crease,9,Sebaceous,0.069230769
NRPS-like,Alar crease,5,Sebaceous,0.038461538
ladderane,Alar crease,0,Sebaceous,0
resorcinol,Alar crease,0,Sebaceous,0
T3PKS,Alar crease,4,Sebaceous,0.030769231
NAPAA,Alar crease,14,Sebaceous,0.107692308
tropodithietic-acid,Alar crease,1,Sebaceous,0.007692308
thioamide-NRP,Alar crease,0,Sebaceous,0
betalactone,Alar crease,5,Sebaceous,0.038461538
lanthipeptide-class-ii,Alar crease,0,Sebaceous,0
thiopeptide,Alar crease,2,Sebaceous,0.015384615
lanthipeptide-class-i,Alar crease,0,Sebaceous,0
lassopeptide,Alar crease,1,Sebaceous,0.007692308
RRE-containing,Alar crease,6,Sebaceous,0.046153846
LAP,Alar crease,0,Sebaceous,0
redox-cofactor,Alar crease,5,Sebaceous,0.038461538
lanthipeptide-class-iv,Alar crease,0,Sebaceous,0
terpene,Alar crease,26,Sebaceous,0.2
epipeptide,Alar crease,0,Sebaceous,0
sactipeptide,Alar crease,2,Sebaceous,0.015384615
T2PKS,Alar crease,0,Sebaceous,0
cyclic-lactone-autoinducer,Alar crease,4,Sebaceous,0.030769231
proteusin,Alar crease,0,Sebaceous,0
lanthipeptide-class-iii,Alar crease,0,Sebaceous,0
siderophore,Alar crease,14,Sebaceous,0.107692308
NAGGN,Alar crease,0,Sebaceous,0
linaridin,Alar crease,0,Sebaceous,0
RiPP-like,Alar crease,1,Sebaceous,0.007692308
ranthipeptide,Alar crease,1,Sebaceous,0.007692308
ectoine,Alar crease,14,Sebaceous,0.107692308
hybrid,Nares,4,Moist,0.044444444
NRPS,Nares,16,Moist,0.177777778
arylpolyene,Nares,2,Moist,0.022222222
T1PKS,Nares,3,Moist,0.033333333
NRPS-like,Nares,1,Moist,0.011111111
ladderane,Nares,0,Moist,0
resorcinol,Nares,0,Moist,0
T3PKS,Nares,5,Moist,0.055555556
NAPAA,Nares,6,Moist,0.066666667
tropodithietic-acid,Nares,0,Moist,0
thioamide-NRP,Nares,0,Moist,0
betalactone,Nares,6,Moist,0.066666667
lanthipeptide-class-ii,Nares,0,Moist,0
thiopeptide,Nares,4,Moist,0.044444444
lanthipeptide-class-i,Nares,0,Moist,0
lassopeptide,Nares,0,Moist,0
RRE-containing,Nares,3,Moist,0.033333333
LAP,Nares,0,Moist,0
redox-cofactor,Nares,2,Moist,0.022222222
lanthipeptide-class-iv,Nares,0,Moist,0
terpene,Nares,12,Moist,0.133333333
epipeptide,Nares,0,Moist,0
sactipeptide,Nares,0,Moist,0
T2PKS,Nares,0,Moist,0
cyclic-lactone-autoinducer,Nares,2,Moist,0.022222222
proteusin,Nares,0,Moist,0
lanthipeptide-class-iii,Nares,1,Moist,0.011111111
siderophore,Nares,10,Moist,0.111111111
NAGGN,Nares,0,Moist,0
linaridin,Nares,1,Moist,0.011111111
RiPP-like,Nares,7,Moist,0.077777778
ranthipeptide,Nares,0,Moist,0
ectoine,Nares,5,Moist,0.055555556
hybrid,Back,2,Sebaceous,0.019047619
NRPS,Back,2,Sebaceous,0.019047619
arylpolyene,Back,1,Sebaceous,0.00952381
T1PKS,Back,4,Sebaceous,0.038095238
NRPS-like,Back,2,Sebaceous,0.019047619
ladderane,Back,0,Sebaceous,0
resorcinol,Back,0,Sebaceous,0
T3PKS,Back,5,Sebaceous,0.047619048
NAPAA,Back,14,Sebaceous,0.133333333
tropodithietic-acid,Back,0,Sebaceous,0
thioamide-NRP,Back,0,Sebaceous,0
betalactone,Back,11,Sebaceous,0.104761905
lanthipeptide-class-ii,Back,1,Sebaceous,0.00952381
thiopeptide,Back,0,Sebaceous,0
lanthipeptide-class-i,Back,0,Sebaceous,0
lassopeptide,Back,0,Sebaceous,0
RRE-containing,Back,9,Sebaceous,0.085714286
LAP,Back,0,Sebaceous,0
redox-cofactor,Back,0,Sebaceous,0
lanthipeptide-class-iv,Back,0,Sebaceous,0
terpene,Back,20,Sebaceous,0.19047619
epipeptide,Back,0,Sebaceous,0
sactipeptide,Back,0,Sebaceous,0
T2PKS,Back,0,Sebaceous,0
cyclic-lactone-autoinducer,Back,1,Sebaceous,0.00952381
proteusin,Back,0,Sebaceous,0
lanthipeptide-class-iii,Back,1,Sebaceous,0.00952381
siderophore,Back,14,Sebaceous,0.133333333
NAGGN,Back,0,Sebaceous,0
linaridin,Back,0,Sebaceous,0
RiPP-like,Back,2,Sebaceous,0.019047619
ranthipeptide,Back,1,Sebaceous,0.00952381
ectoine,Back,15,Sebaceous,0.142857143
hybrid,Umbilicus,1,Moist,0.029411765
NRPS,Umbilicus,3,Moist,0.088235294
arylpolyene,Umbilicus,0,Moist,0
T1PKS,Umbilicus,3,Moist,0.088235294
NRPS-like,Umbilicus,0,Moist,0
ladderane,Umbilicus,0,Moist,0
resorcinol,Umbilicus,0,Moist,0
T3PKS,Umbilicus,6,Moist,0.176470588
NAPAA,Umbilicus,4,Moist,0.117647059
tropodithietic-acid,Umbilicus,0,Moist,0
thioamide-NRP,Umbilicus,0,Moist,0
betalactone,Umbilicus,0,Moist,0
lanthipeptide-class-ii,Umbilicus,0,Moist,0
thiopeptide,Umbilicus,0,Moist,0
lanthipeptide-class-i,Umbilicus,1,Moist,0.029411765
lassopeptide,Umbilicus,1,Moist,0.029411765
RRE-containing,Umbilicus,0,Moist,0
LAP,Umbilicus,1,Moist,0.029411765
redox-cofactor,Umbilicus,0,Moist,0
lanthipeptide-class-iv,Umbilicus,1,Moist,0.029411765
terpene,Umbilicus,6,Moist,0.176470588
epipeptide,Umbilicus,0,Moist,0
sactipeptide,Umbilicus,0,Moist,0
T2PKS,Umbilicus,0,Moist,0
cyclic-lactone-autoinducer,Umbilicus,2,Moist,0.058823529
proteusin,Umbilicus,0,Moist,0
lanthipeptide-class-iii,Umbilicus,0,Moist,0
siderophore,Umbilicus,2,Moist,0.058823529
NAGGN,Umbilicus,0,Moist,0
linaridin,Umbilicus,0,Moist,0
RiPP-like,Umbilicus,1,Moist,0.029411765
ranthipeptide,Umbilicus,0,Moist,0
ectoine,Umbilicus,2,Moist,0.058823529
