"acc","assay_type","bioproject","biosample_link","cANI","collection_date_sam","containment","geo_loc_name_country_calc","lat_lon","organism"
"SRR6958475","WGS","PRJNA444974","https://www.ncbi.nlm.nih.gov/biosample/SAMN08776783","0.94","2012-05-01","0.25","USA","[33.5944,-109.1397]","soil metagenome"
"SRR8552918","WGS","PRJNA518572","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864254","0.92","2017-05-09","0.17","USA","[38.9206,-106.9489]","soil metagenome"
"SRR1631694","WGS","PRJNA46333","https://www.ncbi.nlm.nih.gov/biosample/SAMN03025622","0.93","2013-04-05","0.2","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR1632397","WGS","PRJNA46333","https://www.ncbi.nlm.nih.gov/biosample/SAMN03025643","0.92","2013-03-14","0.17","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR12976792","OTHER","PRJNA674468","https://www.ncbi.nlm.nih.gov/biosample/SAMN16657631","0.9","2019-05-16","0.11","China","[25.58,99.57]","soil metagenome"
"SRR7092012","WGS","PRJNA441983","https://www.ncbi.nlm.nih.gov/biosample/SAMN08778063","0.92","2016-09-16","0.17","USA","[38.9197,-106.9492]","freshwater sediment metagenome"
"SRR4027043","WGS","PRJNA337680","https://www.ncbi.nlm.nih.gov/biosample/SAMN05518036","0.9","2009-06-24","0.1","USA","[43.312222,-89.370833]","soil metagenome"
"SRR9952630","WGS","PRJNA556841","https://www.ncbi.nlm.nih.gov/biosample/SAMN12368158","0.91","2017-06-01","0.13","Canada","[81.80521,-71.52699]","freshwater sediment metagenome"
"SRR8205311","OTHER","PRJNA505928","https://www.ncbi.nlm.nih.gov/biosample/SAMN10439588","0.91","NP","0.13","uncalculated","[""missing""]","soil metagenome"
"SRR1631042","WGS","PRJNA46333","https://www.ncbi.nlm.nih.gov/biosample/SAMN03025570","0.93","2013-01-16","0.21","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR14640485","WGS","PRJNA732600","https://www.ncbi.nlm.nih.gov/biosample/SAMN19328050","0.91","2020-01-10","0.14","India","[21.9497,89.1833]","sediment metagenome"
"SRR12805760","WGS","PRJNA592367","https://www.ncbi.nlm.nih.gov/biosample/SAMN16409518","0.9","2019-04-01","0.12","Namibia","[-23.19,15.37]","metagenome"
"SRR17546358","WGS","PRJNA604820","https://www.ncbi.nlm.nih.gov/biosample/SAMN21207445","0.93","2013-05-14","0.24","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR13614389","WGS","PRJNA697905","https://www.ncbi.nlm.nih.gov/biosample/SAMN17677536","0.9","2019-08-01","0.12","China","[37.3,116.65]","soil metagenome"
"SRR14092350","OTHER","PRJNA718193","https://www.ncbi.nlm.nih.gov/biosample/SAMN18524871","0.9","2018-03-01","0.1","uncalculated","[""missing""]","sludge metagenome"
"SRR7093797","WGS","PRJNA441477","https://www.ncbi.nlm.nih.gov/biosample/SAMN08777897","0.92","2017-05-24","0.16","USA","[42.481016,-72.178343]","soil metagenome"
"SRR3990173","WGS","PRJNA330332","https://www.ncbi.nlm.nih.gov/biosample/SAMN05421988","0.92","2013-03-27","0.17","USA","[39.534762,-107.782602]","soil metagenome"
"SRR17938975","WGS","PRJNA804379","https://www.ncbi.nlm.nih.gov/biosample/SAMN25740220","0.9","2021-10-23","0.12","Russia","[55.01,83.47]","soil metagenome"
"SRR13434398","WGS","PRJNA579838","https://www.ncbi.nlm.nih.gov/biosample/SAMN13134310","0.9","NP","0.11","USA","[38.923239,-106.950876]","freshwater metagenome"
"SRR7013846","WGS","PRJNA448190","https://www.ncbi.nlm.nih.gov/biosample/SAMN08867823","0.9","2013-07-01","0.1","Canada","[50.28,-107.8]","metagenome"
"SRR14689437","WGS","PRJNA781406","https://www.ncbi.nlm.nih.gov/biosample/SAMN19433718","0.9","2019-09-26","0.12","Russia","[43.17,42.28]","metagenome"
"SRR8556103","WGS","PRJNA518536","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864325","0.9","2016-11-25","0.12","Sweden","[68.3535,19.0473]","peat metagenome"
"SRR12030755","WGS","PRJNA638758","https://www.ncbi.nlm.nih.gov/biosample/SAMN15285679","0.9","2018-07-31","0.11","Taiwan","[24.026494,121.136434]","soil metagenome"
"SRR5487761","WGS","PRJNA384362","https://www.ncbi.nlm.nih.gov/biosample/SAMN06835213","0.9","2014-09-27","0.12","Germany","[50.4422,7.10278]","soil metagenome"
"SRR5585586","WGS","PRJNA375669","https://www.ncbi.nlm.nih.gov/biosample/SAMN06343971","0.91","2014-08-14","0.15","USA","[35.8443,-83.9607]","rhizosphere metagenome"
"SRR2179959","WGS","PRJNA176929","https://www.ncbi.nlm.nih.gov/biosample/SAMN04005876","0.93","2010-10-19","0.2","USA","[44.99,-73.11]","freshwater metagenome"
"SRR5438094","WGS","PRJNA365718","https://www.ncbi.nlm.nih.gov/biosample/SAMN06266485","0.9","2014-10-09","0.11","USA","[39.7392,-123.6308]","soil metagenome"
"SRR7091760","WGS","PRJNA441439","https://www.ncbi.nlm.nih.gov/biosample/SAMN08777225","0.91","2017-03-06","0.14","Brazil","[-19.28,-43.5919]","rock metagenome"
"SRR3989441","WGS","PRJNA329927","https://www.ncbi.nlm.nih.gov/biosample/SAMN05421922","0.9","2013-08-20","0.1","USA","[39.718176,-123.652732]","soil metagenome"
"SRR13614412","OTHER","PRJNA170725","https://www.ncbi.nlm.nih.gov/biosample/SAMN17679112","0.9","2016-08-01","0.1","Svalbard","[78.55,11.56]","soil metagenome"
"SRR12619559","WGS","PRJNA662623","https://www.ncbi.nlm.nih.gov/biosample/SAMN16091610","0.9","2018-10-09","0.11","USA","[42.0308,-93.6319]","soil metagenome"
"SRR13708146","WGS","PRJNA701786","https://www.ncbi.nlm.nih.gov/biosample/SAMN17911233","0.91","2019-07-01","0.12","China","[36.11,117.08]","soil metagenome"
"SRR15377966","WGS","PRJNA714922","https://www.ncbi.nlm.nih.gov/biosample/SAMN18647620","0.91","2018-08-01","0.13","USA","[44.346883,-85.484083]","soil metagenome"
"SRR3954471","WGS","PRJNA330069","https://www.ncbi.nlm.nih.gov/biosample/SAMN05422225","0.93","2008-12-31","0.23","USA","[38.99297339,-123.0674491]","soil metagenome"
"SRR15144438","WGS","PRJNA746083","https://www.ncbi.nlm.nih.gov/biosample/SAMN20180582","0.93","2018-12-01","0.23","China","[24.42,113.11]","estuary metagenome"
"SRR10168429","WGS","PRJNA573810","https://www.ncbi.nlm.nih.gov/biosample/SAMN12826206","0.91","2016-05-25","0.13","uncalculated","[-34.83,54.6]","sediment metagenome"
"SRR7186522","WGS","PRJNA450295","https://www.ncbi.nlm.nih.gov/biosample/SAMN08934566","0.93","2013-09-01","0.21","China","[34.16,108.4]","root metagenome"
