"acc","assay_type","bioproject","biosample_link","cANI","collection_date_sam","containment","geo_loc_name_country_calc","lat_lon","organism"
"SRR6958475","WGS","PRJNA444974","https://www.ncbi.nlm.nih.gov/biosample/SAMN08776783","0.95","2012-05-01","0.32","USA","[33.5944,-109.1397]","soil metagenome"
"SRR8552918","WGS","PRJNA518572","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864254","0.93","2017-05-09","0.21","USA","[38.9206,-106.9489]","soil metagenome"
"SRR11827249","WGS","PRJNA620415","https://www.ncbi.nlm.nih.gov/biosample/SAMN14511157","0.9","2015-10-01","0.1","USA","[42.7489,-70.8243]","salt marsh metagenome"
"SRR13106739","WGS","PRJNA680161","https://www.ncbi.nlm.nih.gov/biosample/SAMN16870974","0.9","2017-08-01","0.1","Russia","[70.05,159.55]","permafrost metagenome"
"SRR12976792","OTHER","PRJNA674468","https://www.ncbi.nlm.nih.gov/biosample/SAMN16657631","0.91","2019-05-16","0.13","China","[25.58,99.57]","soil metagenome"
"SRR7092012","WGS","PRJNA441983","https://www.ncbi.nlm.nih.gov/biosample/SAMN08778063","0.93","2016-09-16","0.21","USA","[38.9197,-106.9492]","freshwater sediment metagenome"
"SRR4027043","WGS","PRJNA337680","https://www.ncbi.nlm.nih.gov/biosample/SAMN05518036","0.91","2009-06-24","0.14","USA","[43.312222,-89.370833]","soil metagenome"
"SRR8936444","WGS","PRJNA528368","https://www.ncbi.nlm.nih.gov/biosample/SAMN11415806","0.91","2018-09-01","0.13","China","[23.14,113.34]","soil metagenome"
"SRR12805505","WGS","PRJNA666233","https://www.ncbi.nlm.nih.gov/biosample/SAMN16294742","0.9","2018-06-01","0.11","China","[29.58,111.62]","soil metagenome"
"SRR9952630","WGS","PRJNA556841","https://www.ncbi.nlm.nih.gov/biosample/SAMN12368158","0.91","2017-06-01","0.14","Canada","[81.80521,-71.52699]","freshwater sediment metagenome"
"ERR3858139","WGS","PRJEB36505","https://www.ncbi.nlm.nih.gov/biosample/SAMEA6512643","0.9","2019-01-09","0.11","NP","NP","groundwater metagenome"
"SRR8205311","OTHER","PRJNA505928","https://www.ncbi.nlm.nih.gov/biosample/SAMN10439588","0.92","NP","0.17","uncalculated","[""missing""]","soil metagenome"
"SRR12805760","WGS","PRJNA592367","https://www.ncbi.nlm.nih.gov/biosample/SAMN16409518","0.91","2019-04-01","0.14","Namibia","[-23.19,15.37]","metagenome"
"SRR13213307","WCS","PRJNA506850","https://www.ncbi.nlm.nih.gov/biosample/SAMN17020135","0.9","2016-06-01","0.1","USA","[37.20023629,-80.56444913]","compost metagenome"
"SRR11828800","WGS","PRJNA620419","https://www.ncbi.nlm.nih.gov/biosample/SAMN14511031","0.9","2015-10-01","0.1","USA","[42.7489,-70.8243]","salt marsh metagenome"
"SRR13614389","WGS","PRJNA697905","https://www.ncbi.nlm.nih.gov/biosample/SAMN17677536","0.91","2019-08-01","0.15","China","[37.3,116.65]","soil metagenome"
"SRR14092350","OTHER","PRJNA718193","https://www.ncbi.nlm.nih.gov/biosample/SAMN18524871","0.92","2018-03-01","0.16","uncalculated","[""missing""]","sludge metagenome"
"SRR7093797","WGS","PRJNA441477","https://www.ncbi.nlm.nih.gov/biosample/SAMN08777897","0.92","2017-05-24","0.17","USA","[42.481016,-72.178343]","soil metagenome"
"SRR3990173","WGS","PRJNA330332","https://www.ncbi.nlm.nih.gov/biosample/SAMN05421988","0.93","2013-03-27","0.22","USA","[39.534762,-107.782602]","soil metagenome"
"SRR17938975","WGS","PRJNA804379","https://www.ncbi.nlm.nih.gov/biosample/SAMN25740220","0.91","2021-10-23","0.15","Russia","[55.01,83.47]","soil metagenome"
"DRR101456","WGS","PRJDB6359","https://www.ncbi.nlm.nih.gov/biosample/SAMD00093653","0.91","NP","0.12","China","[32.479787,119.136439]","soil metagenome"
"SRR12473535","WGS","PRJNA657906","https://www.ncbi.nlm.nih.gov/biosample/SAMN15851662","0.9","2017-05-10","0.11","Israel","[31.34583333,34.91333333]","biocrust metagenome"
"SRR10360608","WGS","PRJNA577476","https://www.ncbi.nlm.nih.gov/biosample/SAMN13153381","0.9","2016-06-15","0.12","USA","[39.5673,-123.4758]","soil metagenome"
"SRR13434398","WGS","PRJNA579838","https://www.ncbi.nlm.nih.gov/biosample/SAMN13134310","0.91","NP","0.14","USA","[38.923239,-106.950876]","freshwater metagenome"
"SRR7013846","WGS","PRJNA448190","https://www.ncbi.nlm.nih.gov/biosample/SAMN08867823","0.91","2013-07-01","0.14","Canada","[50.28,-107.8]","metagenome"
"SRR14689437","WGS","PRJNA781406","https://www.ncbi.nlm.nih.gov/biosample/SAMN19433718","0.91","2019-09-26","0.13","Russia","[43.17,42.28]","metagenome"
"SRR8556103","WGS","PRJNA518536","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864325","0.91","2016-11-25","0.14","Sweden","[68.3535,19.0473]","peat metagenome"
"SRR12030755","WGS","PRJNA638758","https://www.ncbi.nlm.nih.gov/biosample/SAMN15285679","0.91","2018-07-31","0.13","Taiwan","[24.026494,121.136434]","soil metagenome"
"SRR5487761","WGS","PRJNA384362","https://www.ncbi.nlm.nih.gov/biosample/SAMN06835213","0.91","2014-09-27","0.15","Germany","[50.4422,7.10278]","soil metagenome"
"SRR5585586","WGS","PRJNA375669","https://www.ncbi.nlm.nih.gov/biosample/SAMN06343971","0.92","2014-08-14","0.19","USA","[35.8443,-83.9607]","rhizosphere metagenome"
"SRR10613508","WGS","PRJNA486429","https://www.ncbi.nlm.nih.gov/biosample/SAMN13518554","0.91","NP","0.14","China","[40.0047,116.3261]","air metagenome"
"SRR5919246","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04874040","0.9","2013-03-23","0.11","Australia","[-31.32774,138.5673]","soil metagenome"
"SRR14373516","WGS","PRJNA689669","https://www.ncbi.nlm.nih.gov/biosample/SAMN18753785","0.9","2019-01-17","0.1","China","[23.4,102.25]","metagenome"
"SRR2179959","WGS","PRJNA176929","https://www.ncbi.nlm.nih.gov/biosample/SAMN04005876","0.94","2010-10-19","0.25","USA","[44.99,-73.11]","freshwater metagenome"
"SRR5438094","WGS","PRJNA365718","https://www.ncbi.nlm.nih.gov/biosample/SAMN06266485","0.91","2014-10-09","0.14","USA","[39.7392,-123.6308]","soil metagenome"
"SRR7091760","WGS","PRJNA441439","https://www.ncbi.nlm.nih.gov/biosample/SAMN08777225","0.92","2017-03-06","0.18","Brazil","[-19.28,-43.5919]","rock metagenome"
"SRR3989441","WGS","PRJNA329927","https://www.ncbi.nlm.nih.gov/biosample/SAMN05421922","0.9","2013-08-20","0.11","USA","[39.718176,-123.652732]","soil metagenome"
"SRR17012565","WGS","PRJNA782751","https://www.ncbi.nlm.nih.gov/biosample/SAMN23393987","0.9","2019-08-09","0.1","USA","[46.97,-118.62]","soil metagenome"
"SRR13614412","OTHER","PRJNA170725","https://www.ncbi.nlm.nih.gov/biosample/SAMN17679112","0.91","2016-08-01","0.12","Svalbard","[78.55,11.56]","soil metagenome"
