Bioassay_ID,Host_ID,Host_Category,Host_Description,Strain_ID,Media_Type,Date_Innoculated,Bioassay_Date,Username,Bioassay_Type,Pathogen_Name,Pathogen_Only_Control,Bioassay_Activity,Bioassay_Notes,Notes,original score,score classification,simplified score
BID7537,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7538,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus cereus - PID30,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID7539,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus subtilis - PID29,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7540,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID7541,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Norcardia corynebacteroides - PID5,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7542,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus epidermidis - PID18,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID7543,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Micrococcus luteus - PID19,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7544,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7545,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7546,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7547,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7548,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7549,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Klebsiella oxytoca - PID21,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7550,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Citrobacter freundii - PID22,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7551,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Proteus vulgaris - PID24,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7552,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Serratia marcescens 8055 - PID31,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7553,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Acinetobacter baumannii - PID42,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID7554,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Cryptococcus neoformans (H99) - PID49,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID7555,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Candida albicans (K1) - PID39,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID7556,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Candida sp. - PID36,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID7557,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Trichosporon asahii - PID56,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID7558,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Metarhizium sp. - PID43,no,no,,Media: BHI + 0.1% Tween 80,-1,no data,-1
BID7559,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Trichoderma sp. - PID44,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID7560,p3-HID145,Human,Toe web space,LK407,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Aspergillus flavus - PID14,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8017,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1
BID8018,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus cereus - PID30,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8019,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus subtilis - PID29,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1
BID8020,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8021,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Norcardia corynebacteroides - PID5,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8022,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus epidermidis - PID18,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8023,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Micrococcus luteus - PID19,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
