Product Prediction	Body_Site	count	Site Type	rel_abun
betalactone	Nares	4	Moist	0.0555555555556
T3PKS	Nares	2	Moist	0.0277777777778
arylpolyene	Nares	2	Moist	0.0277777777778
siderophore	Nares	9	Moist	0.125
redox-cofactor	Nares	2	Moist	0.0277777777778
multi-type	Nares	10	Moist	0.138888888889
lanthipeptide-class-iii	Nares	1	Moist	0.0138888888889
RRE-containing	Nares	2	Moist	0.0277777777778
RiPP-like	Nares	6	Moist	0.0833333333333
NAPAA	Nares	4	Moist	0.0555555555556
ectoine	Nares	2	Moist	0.0277777777778
linaridin	Nares	1	Moist	0.0138888888889
thiopeptide	Nares	2	Moist	0.0277777777778
terpene	Nares	8	Moist	0.111111111111
T1PKS	Nares	1	Moist	0.0138888888889
cyclic-lactone-autoinducer	Nares	1	Moist	0.0138888888889
NRPS	Nares	15	Moist	0.208333333333
betalactone	Toe web space	7	Moist	0.0736842105263
T3PKS	Toe web space	4	Moist	0.0421052631579
arylpolyene	Toe web space	2	Moist	0.0210526315789
siderophore	Toe web space	11	Moist	0.115789473684
redox-cofactor	Toe web space	3	Moist	0.0315789473684
ectoine	Toe web space	6	Moist	0.0631578947368
multi-type	Toe web space	4	Moist	0.0421052631579
lanthipeptide-class-iii	Toe web space	1	Moist	0.0105263157895
RRE-containing	Toe web space	6	Moist	0.0631578947368
ladderane	Toe web space	1	Moist	0.0105263157895
RiPP-like	Toe web space	4	Moist	0.0421052631579
NAPAA	Toe web space	11	Moist	0.115789473684
NRPS-like	Toe web space	5	Moist	0.0526315789474
resorcinol	Toe web space	1	Moist	0.0105263157895
linaridin	Toe web space	1	Moist	0.0105263157895
thiopeptide	Toe web space	1	Moist	0.0105263157895
terpene	Toe web space	17	Moist	0.178947368421
T1PKS	Toe web space	4	Moist	0.0421052631579
cyclic-lactone-autoinducer	Toe web space	2	Moist	0.0210526315789
NRPS	Toe web space	4	Moist	0.0421052631579
NRPS-like	Occiput	2	Sebaceous	0.04
betalactone	Occiput	2	Sebaceous	0.04
T3PKS	Occiput	4	Sebaceous	0.08
