sample	bgc	bgc_class	rpkm_norm	coverage	sample_subject	sample_bodysite
LKMN002-3-90_S289	LK1289_14.region001	T1PKS	14.7740241033	0.937354497354	S033	Moist_Um
LKMN002-3-90_S289	LK1021_6.region001	betalactone	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_590.c00035_NODE_48...region001	T3PKS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_436.c00076_NODE_14...region001	RRE-containing	10.6801882069	1.0	S033	Moist_Um
LKMN002-3-90_S289	SMGC_538.c00020_NODE_31...region001	RiPP-like	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_286.c00029_NODE_52...region001	NRPS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_490.c00021_NODE_32...region001	butyrolactone	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK441_6.region001	betalactone	12.8945941071	1.0	S033	Moist_Um
LKMN002-3-90_S289	SMGC_469.c00008_NODE_30...region001	ectoine	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK1176_15.region001	betalactone	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_278.c00258_NODE_48...region001	RiPP-like	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK1045_40.region001	ectoine	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK960_53.region001	arylpolyene	9.90273303471	0.951765719208	S033	Moist_Um
LKMN002-3-90_S289	LK1055_9.region001	terpene	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_323.c00006_NODE_8_...region001	NRPS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK1270_7.region001	NAPAA	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK1246_21.region001	siderophore	10.6731406398	1.0	S033	Moist_Um
LKMN002-3-90_S289	SMGC_338.c00005_NODE_15...region001	T3PKS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK523_3.region001	NRPS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK1147_1.region001	terpene	10.5326666625	1.0	S033	Moist_Um
LKMN002-3-90_S289	SMGC_45.c00001_NODE_20...region001	ranthipeptide	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK948_6.region002	terpene	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	LK1137_29.region001	RiPP-like	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_332.c01839_NODE_21...region001	siderophore	12.8488026346	0.985641025641	S033	Moist_Um
LKMN002-3-90_S289	SMGC_271.c00005_NODE_7_...region001	NAPAA	12.3739907031	0.997628458498	S033	Moist_Um
LKMN002-3-90_S289	SMGC_243.c00044_NODE_44...region001	RiPP-like	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_487.c00091_NODE_68...region001	NRPS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_103.c00020_NODE_38...region001	T1PKS	NA	NA	S033	Moist_Um
LKMN002-3-90_S289	SMGC_506.c00002_NODE_18...region002	redox-cofactor	NA	NA	S033	Moist_Um
