dataset,genus,body_site,site_type,rel_abun
Metagenomic,Micrococcus,Af,Rarely Moist,0.038742867
Metagenomic,Staphylococcus,Af,Rarely Moist,0.342512779
Metagenomic,Corynebacterium,Af,Rarely Moist,0.331645151
Metagenomic,Dietzia,Af,Rarely Moist,0.000767189
Metagenomic,Bacillus,Af,Rarely Moist,0.000825633
Metagenomic,Kocuria,Af,Rarely Moist,0.007614219
Metagenomic,Klebsiella,Af,Rarely Moist,0.000418752
Metagenomic,Rothia,Af,Rarely Moist,0.002339005
Metagenomic,Brachybacterium,Af,Rarely Moist,0.000956059
Metagenomic,Dermabacter,Af,Rarely Moist,0.000804397
Metagenomic,Brevibacterium,Af,Rarely Moist,0.001790773
Metagenomic,Escherichia,Af,Rarely Moist,0.000450662
Metagenomic,Janibacter,Af,Rarely Moist,0.001614596
Metagenomic,Sphingobacterium,Af,Rarely Moist,5.92E-05
Metagenomic,Dermacoccus,Af,Rarely Moist,0.000765082
Metagenomic,Citrobacter,Af,Rarely Moist,4.30E-05
Metagenomic,Microbacterium,Af,Rarely Moist,0.001593229
Metagenomic,Nesterenkonia,Af,Rarely Moist,0.000148273
Metagenomic,Cutibacterium,Af,Rarely Moist,0.139833451
Metagenomic,Enterobacter,Af,Rarely Moist,0.000527337
Metagenomic,Enterococcus,Af,Rarely Moist,1.75E-05
Metagenomic,Gordonia,Af,Rarely Moist,0.001812325
Metagenomic,Granulicatella,Af,Rarely Moist,0.000222524
Metagenomic,Kytococcus,Af,Rarely Moist,0.001433117
Metagenomic,Pseudoclavibacter,Af,Rarely Moist,1.65E-05
Metagenomic,Other,Af,Rarely Moist,1.23E-01
Cultured,Micrococcus,Af,Rarely Moist,0.572815534
Cultured,Staphylococcus,Af,Rarely Moist,0.165048544
Cultured,Corynebacterium,Af,Rarely Moist,0.087378641
Cultured,Dietzia,Af,Rarely Moist,0.029126214
Cultured,Bacillus,Af,Rarely Moist,0.058252427
Cultured,Kocuria,Af,Rarely Moist,0.019417476
Cultured,Klebsiella,Af,Rarely Moist,0
Cultured,Rothia,Af,Rarely Moist,0
Cultured,Brachybacterium,Af,Rarely Moist,0.019417476
Cultured,Dermabacter,Af,Rarely Moist,0
Cultured,Brevibacterium,Af,Rarely Moist,0
Cultured,Escherichia,Af,Rarely Moist,0
Cultured,Janibacter,Af,Rarely Moist,0
Cultured,Sphingobacterium,Af,Rarely Moist,0
Cultured,Dermacoccus,Af,Rarely Moist,0
Cultured,Citrobacter,Af,Rarely Moist,0
Cultured,Microbacterium,Af,Rarely Moist,0
Cultured,Nesterenkonia,Af,Rarely Moist,0
Cultured,Cutibacterium,Af,Rarely Moist,0
Cultured,Enterobacter,Af,Rarely Moist,0
Cultured,Enterococcus,Af,Rarely Moist,0
Cultured,Gordonia,Af,Rarely Moist,0
Cultured,Granulicatella,Af,Rarely Moist,0
Cultured,Kytococcus,Af,Rarely Moist,0
Cultured,Pseudoclavibacter,Af,Rarely Moist,0.009708738
Cultured,Other,Af,Rarely Moist,0.038834951
Metagenomic,Micrococcus,Al,Sebaceous,0.014194538
Metagenomic,Staphylococcus,Al,Sebaceous,0.114150121
Metagenomic,Corynebacterium,Al,Sebaceous,0.030604013
Metagenomic,Dietzia,Al,Sebaceous,0.000357882
Metagenomic,Bacillus,Al,Sebaceous,0.000211467
Metagenomic,Kocuria,Al,Sebaceous,0.000902201
Metagenomic,Klebsiella,Al,Sebaceous,0.000342456
Metagenomic,Rothia,Al,Sebaceous,0.004871942
Metagenomic,Brachybacterium,Al,Sebaceous,0.000215456
Metagenomic,Dermabacter,Al,Sebaceous,3.78E-05
Metagenomic,Brevibacterium,Al,Sebaceous,0.000732434
Metagenomic,Escherichia,Al,Sebaceous,7.78E-05
Metagenomic,Janibacter,Al,Sebaceous,0.000241494
Metagenomic,Sphingobacterium,Al,Sebaceous,1.62E-05
Metagenomic,Dermacoccus,Al,Sebaceous,2.95E-05
Metagenomic,Citrobacter,Al,Sebaceous,2.21E-05
Metagenomic,Microbacterium,Al,Sebaceous,0.000253093
Metagenomic,Nesterenkonia,Al,Sebaceous,3.91E-05
Metagenomic,Cutibacterium,Al,Sebaceous,0.771957195
Metagenomic,Enterobacter,Al,Sebaceous,6.60E-05
Metagenomic,Enterococcus,Al,Sebaceous,2.89E-06
Metagenomic,Gordonia,Al,Sebaceous,0.000585495
Metagenomic,Granulicatella,Al,Sebaceous,0.000303111
Metagenomic,Kytococcus,Al,Sebaceous,0.000344116
Metagenomic,Pseudoclavibacter,Al,Sebaceous,1.44E-05
Metagenomic,Other,Al,Sebaceous,5.94E-02
Cultured,Micrococcus,Al,Sebaceous,0.263636364
Cultured,Staphylococcus,Al,Sebaceous,0.254545455
Cultured,Corynebacterium,Al,Sebaceous,0.090909091
Cultured,Dietzia,Al,Sebaceous,0.081818182
Cultured,Bacillus,Al,Sebaceous,0.018181818
Cultured,Kocuria,Al,Sebaceous,0.009090909
Cultured,Klebsiella,Al,Sebaceous,0.063636364
Cultured,Rothia,Al,Sebaceous,0.009090909
Cultured,Brachybacterium,Al,Sebaceous,0.036363636
Cultured,Dermabacter,Al,Sebaceous,0.027272727
Cultured,Brevibacterium,Al,Sebaceous,0.009090909
Cultured,Escherichia,Al,Sebaceous,0.045454545
Cultured,Janibacter,Al,Sebaceous,0
Cultured,Sphingobacterium,Al,Sebaceous,0
Cultured,Dermacoccus,Al,Sebaceous,0.009090909
Cultured,Citrobacter,Al,Sebaceous,0
Cultured,Microbacterium,Al,Sebaceous,0
Cultured,Nesterenkonia,Al,Sebaceous,0
Cultured,Cutibacterium,Al,Sebaceous,0.009090909
Cultured,Enterobacter,Al,Sebaceous,0.009090909
Cultured,Enterococcus,Al,Sebaceous,0
Cultured,Gordonia,Al,Sebaceous,0
Cultured,Granulicatella,Al,Sebaceous,0
Cultured,Kytococcus,Al,Sebaceous,0
Cultured,Pseudoclavibacter,Al,Sebaceous,0
Cultured,Other,Al,Sebaceous,0.063636364
Metagenomic,Micrococcus,Ba,Sebaceous,0.106663661
Metagenomic,Staphylococcus,Ba,Sebaceous,0.139278026
Metagenomic,Corynebacterium,Ba,Sebaceous,0.061558339
Metagenomic,Dietzia,Ba,Sebaceous,0.001958381
Metagenomic,Bacillus,Ba,Sebaceous,0.000570355
Metagenomic,Kocuria,Ba,Sebaceous,0.007429916
Metagenomic,Klebsiella,Ba,Sebaceous,0.000847346
Metagenomic,Rothia,Ba,Sebaceous,0.004844129
Metagenomic,Brachybacterium,Ba,Sebaceous,0.0011652
Metagenomic,Dermabacter,Ba,Sebaceous,0.000362149
Metagenomic,Brevibacterium,Ba,Sebaceous,0.00291619
Metagenomic,Escherichia,Ba,Sebaceous,0.000412457
Metagenomic,Janibacter,Ba,Sebaceous,0.001816581
Metagenomic,Sphingobacterium,Ba,Sebaceous,0.000106479
Metagenomic,Dermacoccus,Ba,Sebaceous,0.000603277
Metagenomic,Citrobacter,Ba,Sebaceous,8.26E-05
Metagenomic,Microbacterium,Ba,Sebaceous,0.002250393
Metagenomic,Nesterenkonia,Ba,Sebaceous,0.000548929
Metagenomic,Cutibacterium,Ba,Sebaceous,0.493205148
Metagenomic,Enterobacter,Ba,Sebaceous,0.000204587
