#BGC Name	Clan Number	Family Number
BGC0000287	4090	268
LKMB002-2-018-S109_c00332_NODE_33...region001	4090	268
BGC0000508	4090	479
BGC0000514	4090	479
LKMN002-3-05-S208_c00103_NODE_10...region001	4090	479
BGC0000630	4090	598
BGC0000635	4090	598
LKMB002-2-055-S146_c00031_NODE_31...region001	4090	598
LKMB002-2-057-S148_c00244_NODE_24...region001	4090	598
BGC0000860	4090	806
LKMB002-2-055-S146_c00047_NODE_47...region001	4090	806
LKMB002-2-057-S148_c00028_NODE_28...region001	4090	806
BGC0000943	4090	887
LKMB002-1-25-S29_c00005_NODE_5_...region001	4090	887
LKMN002-3-50-S249_c00004_NODE_4_...region001	4090	887
BGC0002323	4090	2114
LKMB002-2-092-S199_c00473_NODE_47...region001	4090	2114
LKMB002-1-01-S5_c00422_NODE_42...region001	4090	2507
LKMB002-1-01-S5_c00507_NODE_50...region001	4090	2511
LKMB002-1-06-S10_c00838_NODE_83...region001	4090	2511
LKMB002-1-19-S23_c03108_NODE_31...region001	4090	2511
LKMB002-1-47-S51_c02400_NODE_24...region001	4090	2511
LKMB002-1-01-S5_c01021_NODE_10...region001	4090	2513
LKMB002-1-01-S5_c00487_NODE_48...region001	4090	2545
LKMB002-1-04-S8_c00583_NODE_58...region001	4090	2545
LKMB002-1-15-S19_c03383_NODE_33...region001	4090	2545
LKMB002-1-19-S23_c02385_NODE_23...region001	4090	2545
LKMB002-1-21-S25_c01193_NODE_11...region001	4090	2545
LKMB002-1-48-S52_c02055_NODE_20...region001	4090	2545
LKMB002-1-04-S8_c01443_NODE_14...region001	4090	2553
LKMB002-1-45-S49_c00117_NODE_11...region001	4090	2553
LKMB002-1-53-S158_c02024_NODE_20...region001	4090	2553
LKMN002-3-79-S278_c03158_NODE_31...region001	4090	2553
LKMB002-1-05-S9_c00066_NODE_66...region001	4090	2558
LKMB002-1-06-S10_c00390_NODE_39...region001	4090	2558
LKMB002-1-07-S11_c00890_NODE_89...region001	4090	2558
LKMB002-1-19-S23_c01267_NODE_12...region001	4090	2558
LKMB002-1-22-S26_c00121_NODE_12...region001	4090	2558
LKMB002-1-29-S33_c00036_NODE_36...region001	4090	2558
LKMB002-1-33-S37_c00041_NODE_41...region001	4090	2558
LKMB002-1-37-S41_c00018_NODE_18...region001	4090	2558
LKMB002-1-39-S43_c00117_NODE_11...region001	4090	2558
LKMB002-1-40-S44_c00028_NODE_28...region001	4090	2558
LKMB002-1-45-S49_c00099_NODE_99...region001	4090	2558
LKMB002-1-48-S52_c00820_NODE_82...region001	4090	2558
LKMB002-1-53-S158_c00018_NODE_18...region001	4090	2558
LKMB002-1-54-S159_c00028_NODE_28...region001	4090	2558
LKMB002-1-55-S160_c00079_NODE_79...region001	4090	2558
LKMB002-1-05-S9_c00155_NODE_15...region001	4090	2559
LKMB002-1-05-S9_c00208_NODE_20...region001	4090	2560
LKMB002-1-05-S9_c00549_NODE_54...region001	4090	2566
LKMB002-1-05-S9_c00653_NODE_65...region001	4090	2567
LKMB002-1-05-S9_c00702_NODE_70...region001	4090	2569
LKMB002-1-05-S9_c01099_NODE_10...region001	4090	2571
LKMB002-1-05-S9_c01140_NODE_11...region001	4090	2573
LKMB002-1-05-S9_c01616_NODE_16...region001	4090	2576
LKMB002-1-05-S9_c02002_NODE_20...region001	4090	2577
LKMB002-1-05-S9_c02701_NODE_27...region001	4090	2579
LKMB002-1-05-S9_c02726_NODE_27...region001	4090	2580
LKMB002-1-05-S9_c04996_NODE_49...region001	4090	2583
LKMB002-1-06-S10_c00444_NODE_44...region001	4090	2591
LKMB002-1-14-S18_c00608_NODE_60...region001	4090	2591
LKMB002-1-47-S51_c01249_NODE_12...region001	4090	2591
LKMB002-1-55-S160_c00270_NODE_27...region001	4090	2591
LKMB002-1-06-S10_c00703_NODE_70...region001	4090	2596
LKMB002-1-06-S10_c02365_NODE_23...region001	4090	2605
LKMB002-1-37-S41_c02884_NODE_28...region001	4090	2605
LKMB002-1-40-S44_c04928_NODE_49...region001	4090	2605
LKMB002-1-06-S10_c02882_NODE_28...region001	4090	2607
LKMB002-1-07-S11_c00075_NODE_75...region001	4090	2616
LKMB002-2-018-S109_c00111_NODE_11...region001	4090	2616
LKMB002-1-07-S11_c00099_NODE_99...region001	4090	2617
LKMB002-1-07-S11_c00170_NODE_17...region001	4090	2618
LKMB002-1-07-S11_c00178_NODE_17...region001	4090	2619
LKMB002-2-018-S109_c00079_NODE_79...region001	4090	2619
LKMB002-1-07-S11_c00244_NODE_24...region001	4090	2623
LKMB002-1-07-S11_c00291_NODE_29...region001	4090	2625
LKMB002-1-07-S11_c00298_NODE_29...region001	4090	2626
LKMB002-1-07-S11_c00513_NODE_51...region001	4090	2630
LKMB002-1-07-S11_c00617_NODE_61...region001	4090	2631
LKMB002-1-07-S11_c00787_NODE_78...region001	4090	2635
LKMB002-1-07-S11_c00971_NODE_97...region001	4090	2641
LKMB002-1-07-S11_c01557_NODE_15...region001	4090	2644
LKMB002-1-25-S29_c01278_NODE_12...region001	4090	2644
LKMB002-1-41-S45_c01352_NODE_13...region001	4090	2644
LKMB002-2-011-S102_c00344_NODE_34...region001	4090	2644
LKMB002-2-019-S110_c00761_NODE_76...region001	4090	2644
LKMB002-2-067-S174_c00579_NODE_57...region001	4090	2644
LKMN002-3-05-S208_c01077_NODE_10...region001	4090	2644
LKMN002-3-73-S272_c01095_NODE_10...region001	4090	2644
LKMB002-1-07-S11_c02061_NODE_20...region001	4090	2648
LKMB002-1-07-S11_c02331_NODE_23...region001	4090	2649
LKMB002-1-07-S11_c02338_NODE_23...region001	4090	2650
LKMB002-1-07-S11_c02849_NODE_28...region001	4090	2653
LKMB002-2-034-S125_c00110_NODE_11...region001	4090	2653
LKMN002-3-90-S289_c00012_NODE_12...region001	4090	2653
LKMB002-1-07-S11_c03387_NODE_33...region001	4090	2655
LKMB002-1-23-S27_c03400_NODE_34...region001	4090	2655
LKMB002-1-56-S55_c01380_NODE_13...region001	4090	2655
LKMB002-2-034-S125_c03174_NODE_31...region001	4090	2655
LKMN002-3-82-S281_c07124_NODE_71...region001	4090	2655
LKMN002-3-90-S289_c05519_NODE_55...region001	4090	2655
LKMB002-1-03-S7_c00937_NODE_93...region001	4090	2658
LKMB002-1-07-S11_c04262_NODE_42...region001	4090	2658
LKMB002-1-20-S24_c01605_NODE_16...region001	4090	2658
LKMB002-1-07-S11_c06014_NODE_60...region001	4090	2663
LKMB002-1-25-S29_c09433_NODE_94...region001	4090	2663
LKMB002-1-40-S44_c06221_NODE_62...region001	4090	2663
LKMB002-1-65-S64_c03804_NODE_38...region001	4090	2663
LKMB002-1-65-S64_c03915_NODE_39...region001	4090	2663
LKMB002-2-002-S161_c08425_NODE_84...region001	4090	2663
LKMB002-2-044-S135_c00001_NODE_1_...region001	4090	2663
LKMB002-2-090-S197_c01898_NODE_18...region001	4090	2663
LKMN002-3-05-S208_c00079_NODE_79...region001	4090	2663
LKMN002-3-38-S165_c00664_NODE_66...region001	4090	2663
LKMN002-3-65-S264_c00110_NODE_11...region001	4090	2663
LKMB002-1-08-S12_c00034_NODE_34...region001	4090	2669
BGC0000555	4090	2676
LKMB002-1-08-S12_c00153_NODE_15...region001	4090	2676
LKMB002-1-08-S12_c00175_NODE_17...region001	4090	2677
LKMB002-1-08-S12_c00338_NODE_33...region001	4090	2681
LKMB002-1-08-S12_c00435_NODE_43...region001	4090	2682
LKMB002-1-03-S7_c00551_NODE_55...region001	4090	2683
LKMB002-1-04-S8_c00853_NODE_85...region001	4090	2683
LKMB002-1-06-S10_c00662_NODE_66...region001	4090	2683
LKMB002-1-07-S11_c02028_NODE_20...region001	4090	2683
LKMB002-1-08-S12_c00475_NODE_47...region001	4090	2683
LKMB002-1-15-S19_c00689_NODE_68...region001	4090	2683
LKMB002-1-15-S19_c03278_NODE_32...region001	4090	2683
LKMB002-1-20-S24_c01881_NODE_18...region001	4090	2683
LKMB002-1-48-S52_c01801_NODE_18...region001	4090	2683
LKMB002-1-08-S12_c00658_NODE_65...region001	4090	2686
LKMB002-1-40-S44_c01203_NODE_12...region001	4090	2686
LKMB002-2-002-S161_c00936_NODE_93...region001	4090	2686
LKMB002-2-084-S191_c01113_NODE_11...region001	4090	2686
LKMN002-3-04-S207_c03467_NODE_34...region001	4090	2686
LKMB002-1-08-S12_c00661_NODE_66...region001	4090	2687
LKMB002-1-50-S54_c01176_NODE_11...region001	4090	2687
LKMB002-1-08-S12_c00695_NODE_69...region001	4090	2688
LKMB002-1-01-S5_c01693_NODE_16...region001	4090	2693
LKMB002-1-04-S8_c00800_NODE_80...region001	4090	2693
LKMB002-1-08-S12_c02021_NODE_20...region001	4090	2693
LKMB002-1-20-S24_c02620_NODE_26...region001	4090	2693
LKMB002-1-09-S13_c00006_NODE_6_...region001	4090	2697
LKMB002-1-09-S13_c00008_NODE_8_...region001	4090	2698
LKMB002-1-09-S13_c00015_NODE_15...region001	4090	2699
LKMB002-1-09-S13_c00016_NODE_16...region001	4090	2700
LKMB002-1-09-S13_c00944_NODE_94...region001	4090	2713
LKMB002-1-09-S13_c01020_NODE_10...region001	4090	2714
LKMB002-1-09-S13_c02543_NODE_25...region001	4090	2715
LKMB002-1-11-S15_c00286_NODE_28...region001	4090	2727
LKMB002-1-11-S15_c00812_NODE_81...region001	4090	2732
LKMB002-1-11-S15_c00863_NODE_86...region001	4090	2734
LKMB002-1-11-S15_c01006_NODE_10...region001	4090	2735
LKMB002-1-11-S15_c01149_NODE_11...region001	4090	2737
LKMB002-1-11-S15_c01459_NODE_14...region001	4090	2740
LKMB002-1-11-S15_c01869_NODE_18...region001	4090	2744
LKMB002-1-11-S15_c01921_NODE_19...region001	4090	2745
LKMB002-1-11-S15_c04942_NODE_49...region001	4090	2748
LKMB002-1-11-S15_c05298_NODE_52...region001	4090	2749
LKMB002-1-11-S15_c05702_NODE_57...region001	4090	2751
LKMB002-1-11-S15_c05734_NODE_57...region001	4090	2752
LKMB002-1-11-S15_c05886_NODE_58...region001	4090	2753
LKMB002-1-11-S15_c06832_NODE_68...region001	4090	2755
LKMB002-1-12-S16_c02257_NODE_22...region001	4090	2767
LKMB002-1-36-S40_c01714_NODE_17...region001	4090	2767
LKMB002-2-040-S131_c00951_NODE_95...region001	4090	2767
LKMB002-1-05-S9_c00729_NODE_72...region001	4090	2783
