assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
LK1000	NA	74	74	100.00	0.00	69	Yes
LK1002	NA	72	70	97.30	4.05	67	Yes
LK1006	NA	74	73	100.00	1.35	71	Yes
LK1007	NA	73	71	98.65	2.70	68	Yes
LK1008	NA	71	70	95.95	1.35	67	Yes
LK1009	NA	73	72	98.65	1.35	70	Yes
LK1012	NA	73	71	98.65	2.70	68	Yes
LK1014	NA	72	71	97.30	1.35	69	Yes
LK1015	NA	74	74	100.00	0.00	66	Yes
LK1017	NA	74	73	100.00	1.35	71	Yes
LK1018	NA	72	70	97.30	2.70	68	Yes
LK1019	NA	70	68	94.59	2.70	66	Yes
LK1021	NA	74	74	100.00	0.00	68	Yes
LK1022	NA	74	72	100.00	2.70	70	Yes
LK1024	NA	74	73	100.00	1.35	67	Yes
LK1025	NA	71	69	95.95	2.70	67	Yes
LK1026	NA	73	71	98.65	2.70	69	Yes
LK1027	NA	73	72	98.65	1.35	70	Yes
LK1030	NA	74	73	100.00	1.35	71	Yes
LK1031	NA	73	71	98.65	2.70	69	Yes
LK1034	NA	74	73	100.00	1.35	65	Yes
LK1036	NA	74	73	100.00	1.35	71	Yes
LK1041	NA	74	73	100.00	1.35	70	Yes
LK1045	NA	73	72	98.65	1.35	66	Yes
LK1046	NA	73	71	98.65	2.70	68	Yes
LK1048	NA	73	71	98.65	2.70	69	Yes
LK1049	NA	72	72	97.30	0.00	70	Yes
LK1050	NA	73	71	98.65	2.70	69	Yes
LK1051	NA	71	69	95.95	2.70	67	Yes
LK1053	NA	72	71	97.30	1.35	69	Yes
LK1054	NA	74	71	100.00	5.41	65	Yes
LK1055	NA	73	73	98.65	0.00	67	Yes
LK1056	NA	73	72	98.65	1.35	71	Yes
LK1059	NA	74	73	100.00	1.35	70	Yes
LK1070	NA	73	71	98.65	2.70	69	Yes
LK1072	NA	72	70	97.30	2.70	68	Yes
LK1073	NA	73	71	98.65	2.70	70	Yes
LK1077	NA	74	72	100.00	2.70	69	Yes
LK1078	NA	73	73	98.65	0.00	66	Yes
LK1079	NA	73	73	98.65	0.00	66	Yes
LK1080	NA	74	72	100.00	2.70	69	Yes
LK1082	NA	74	72	100.00	2.70	69	Yes
LK1085	NA	72	72	97.30	0.00	69	Yes
LK1086	NA	74	73	100.00	1.35	68	Yes
LK1090	NA	71	69	95.95	2.70	67	Yes
LK1091	NA	73	73	98.65	0.00	70	Yes
LK1092	NA	74	73	100.00	1.35	71	Yes
LK1093	NA	74	73	100.00	1.35	69	Yes
LK1094	NA	71	70	95.95	1.35	68	Yes
LK1095	NA	74	74	100.00	0.00	66	Yes
LK1096	NA	74	74	100.00	0.00	66	Yes
LK1098	NA	73	73	98.65	0.00	66	Yes
LK1099	NA	73	71	98.65	2.70	67	Yes
LK1102	NA	74	73	100.00	1.35	65	Yes
LK1104	NA	73	72	98.65	1.35	69	Yes
LK1105	NA	72	70	97.30	2.70	67	Yes
LK1106	NA	73	71	98.65	2.70	68	Yes
LK1110	NA	74	73	100.00	1.35	65	Yes
